Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
Vestnik Sankt-Peterburgskogo Universiteta-Filosofiya i Konfliktologiya	VESTN ST PETER U-FIL	ST PETERSBURG UNIV PRESS	2542-2278	2541-9382	0.3	0.2		
VIGILIAE CHRISTIANAE	VIGILIAE CHRISTIAN	BRILL	0042-6032	1570-0720	0.3	0.3		
Zhurnal Frontirnykh Issledovanii-Journal of Frontier Studies	ZH FRONTIRNYKH ISSLE	LTD CO SCIENTIFIC INDUSTRIAL ENTERPRISE GENESIS FRONTIER SCIENCE		2500-0225	0.3	0.2		
Arqueologia de la Arquitectura	ARQUEOL ARQUIT	CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC	1695-2731	1989-5313	0.3	0.4		
EGA-Revista de Expresion Grafica Arquitectonica	EGA-REV EXPRES GRAF	"UNIV POLITECNICA VALENCIA, EDITORIAL UPV"	1133-6137	2254-6103	0.3	0.2		
Interiors-Design Architecture Culture	INTERIORS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	2041-9112	2041-9120	0.3	0.2		
Journal of Property Planning and Environmental Law	J PROP PLAN ENV LAW	EMERALD GROUP PUBLISHING LTD	2514-9407	2514-9415	0.3	1.0	Q3	278/434
Journal of the British Archaeological Association	J BR ARCHAEOL ASSOC	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0068-1288	1747-6704	0.3	0.3		
Specula. Revista de Humanidades y Espiritualidad	SPECULA	Univ Catolica Valencia San Vicente Martir - UCV	2697-2484	2792-3290	0.3	0.3	Q2	176/538
Textile-Cloth and Culture	TEXTILE	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1475-9756	1751-8350	0.3	0.4		
Arab Studies Quarterly	ARAB STUD Q	PLUTO JOURNALS	0271-3519	2043-6920	0.3	0.4	Q3	135/182
Church History and Religious Culture	CHURCH HIST RELIG CU	BRILL	1871-241X	1871-2428	0.3	0.2		
Ethnologia Scandinavica	ETHNOL SCAND	SWEDISH SCIENCE PRESS	0348-9698	0348-9698	0.3	0.2		
International Insolvency Review	INT INSOLV REV	WILEY	1180-0518	1099-1107	0.3	0.4	Q3	278/434
Journal of African Law	J AFR LAW	CAMBRIDGE UNIV PRESS	0021-8553	1464-3731	0.3	0.4	Q3	278/434
METROPOLITAN MUSEUM JOURNAL	METROPOL MUSEUM J	UNIV CHICAGO PRESS	0077-8958	2169-3072	0.3	0.2		
MUSIC & LETTERS	MUSIC LETT	OXFORD UNIV PRESS	0027-4224	1477-4631	0.3	0.3		
Rad Hrvatske Akademije Znanosti i Umjetnosti-Matematicke Znanosti	RAD HRVAT AKAD ZNAN	CROATIAN ACAD SCIENCES & ARTS	1849-2215	1849-2215	0.3	0.3	Q4	432/483
Rossiiskaya Istoriya	ROSS ISTOR	"ROSSIISKAYA AKAD NAUK, IZDATELSTVO NAUKA"	0869-5687		0.3	0.2	Q2	176/538
Anuario de Historia de la Iglesia	ANU HIST IGLESIA	"UNIV NAVARRA, SERVICIO PUBLICACIONES"	1133-0104	2174-0887	0.3	0.3	Q2	176/538
FORUM DER PSYCHOANALYSE	FORUM PSYCHOANAL	SPRINGER	0178-7667	1437-0751	0.3	0.2	Q3	16/22
Journal of Vietnamese Studies	J VIETNAM STUD	UNIV CALIFORNIA PRESS	1559-372X	1559-3738	0.3	0.6	Q3	135/182
Landscape Architecture and Art	LANDSC ARCHIT ART	Latvia Univ Life Sciences and Technologies	2255-8632	2255-8640	0.3	0.7		
Scottish Literary Review	SCOTT LIT REV	ASSOC SCOTTISH LIT STUD	1756-5634	2050-6678	0.3	0.2		
ABE Journal	ABE J	"INVISU-CNRS-INHA, INST NAT HISTOIRE ART"	2275-6639	2275-6639	0.3	0.4		
Cauriensia-Revista Anual de Ciencias Eclesiasticas	CAURIENSIA	INST TEOLOGICO SAN PEDRO ALCANTARA CACERES	1886-4945	2340-4256	0.3	0.3		
Quaestio Rossica	QUAESTIO ROSS	URAL FEDERAL UNIV	2311-911X	2313-6871	0.3	0.2		
Stellenbosch Theological Journal	STELLENBOSCH THEOL J	PIETER WAAL NEETHLING TRUST	2413-9459	2413-9467	0.3	0.2		
Adelaide Law Review	ADEL LAW REV	UNIV ADELAIDE	0065-1915	0065-1915	0.3	0.4	Q3	278/434
Annales Polonici Mathematici	ANN POL MATH	POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN	0066-2216	1730-6272	0.3	0.4	Q4	432/483
CATHOLIC BIBLICAL QUARTERLY	CATH BIBLICAL QUART	CATHOLIC BIBLICAL ASSOC AMER	0008-7912	2163-2529	0.3	0.4		
Christian Education Journal	CHRIST EDUC J	SAGE PUBLICATIONS INC	0739-8913	2378-525X	0.3	0.3	Q4	628/756
Cognitive Studies-Etudes Cognitives	COGN STUD-POLAND	"POLISH ACAD SCIENCES, INST SLAVIC STUDIES"	2080-7147	2392-2397	0.3	0.4		
Company and Securities Law Journal	CO SECUR LAW J	LAWBOOK CO LTD	0729-2775	0729-2775	0.3	0.3	Q3	278/434
Con-textos Kantianos-International Journal of Philosophy	CON-TEXTOS KANTIANOS	"CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC, INST FILOSOFIA"	2386-7655	2386-7655	0.3	0.2		
Dix-Neuf	DIX-NEUF	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1478-7318	1478-7318	0.3	0.3		
EXPOSITORY TIMES	EXPOSITORY TIMES	SAGE PUBLICATIONS LTD	0014-5246	1745-5308	0.3	0.2		
Honam Mathematical Journal	HONAM MATH J	HONAM MATHEMATICAL SOC	1225-293X	2288-6176	0.3	0.4	Q4	432/483
International Electronic Journal of Algebra	INT ELECTRON J ALGEB	IEJA-INT ELECTRONIC JOURNAL ALGEBRA	1306-6048	1306-6048	0.3	0.4	Q4	432/483
Journal of Applied Hermeneutics	J APPL HERMENEUTICS	"UNIV CALGARY, FAC NURSING"	1927-4416	1927-4416	0.3	0.3		
Journal of HIV-AIDS & Social Services	J HIV-AIDS SOC SERV	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1538-1501	1538-151X	0.3	0.7	Q4	85/94
JOURNAL OF LIE THEORY	J LIE THEORY	HELDERMANN VERLAG	0949-5932	0949-5932	0.3	0.3	Q4	432/483
Sartre Studies International	SARTRE STUD INT	BERGHAHN JOURNALS	1357-1559	1357-1559	0.3	0.4		
Boletin Academico-Revista de Investigacion y Arquitectura Contemporanea	BOL ACAD-REV INVEST	"SIELAE & UNIV CORUNA, Fac Filologia"		2173-6723	0.3			
Buddhist Studies Review	BUDDH STUD REV	EQUINOX PUBLISHING LTD	0265-2897	1747-9681	0.3	0.3		
CAMERA OBSCURA	CAMERA OBSCURA	DUKE UNIV PRESS	0270-5346	1529-1510	0.3	0.3		
Historia y Sociedad	HIST SOC-BOGOTA	"UNIV NAC COLOMBIA, FAC CIENCIAS HUMANAS"	0121-8417	2357-4720	0.3	0.3	Q2	176/538
International Journal of Canadian Studies	INT J CAN STUD	UNIV TORONTO PRESS INC	1180-3991	1923-5291	0.3	0.2	Q3	135/182
Journal of Open Humanities Data	J OPEN HUMANIT DATA	UBIQUITY PRESS LTD		2059-481X	0.3		Q3	203/271
ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS	ORDER	SPRINGER	0167-8094	1572-9273	0.3	0.4	Q4	432/483
Osmanli Arastirmalari-The Journal of Ottoman Studies	OSMAN ARASTIRMALARI	ISTANBUL 29 MAYIS UNIV & ISAM	0255-0636	0255-0636	0.3	0.4	Q2	176/538
Shofar-An Interdisciplinary Journal of Jewish Studies	SHOFAR	PURDUE UNIV PRESS	0882-8539	1534-5165	0.3	0.4		
Arthur Miller Journal	ARTHUR MILLER J	PENN STATE UNIV PRESS	1558-8831	2333-3154	0.3	0.2		
Con A de Animacion	CON A ANIMAC	"UNIV POLITECNICA VALENCIA, EDITORIAL UPV"	2173-6049	2173-3511	0.3	0.3		
Journal for Educational Research Online-JERO	J EDUC RES ONLINE-JE	WAXMANN VERLAG GMBH	1866-6671	1866-6671	0.3	1.2	Q4	628/756
Midcontinental Journal of Archaeology	MIDCONT J ARCHAEOL	UNIV ILLINOIS PRESS	0146-1109	2327-4271	0.3	0.4		
MODERNISM-MODERNITY	MODERNISM-MODERNITY	JOHNS HOPKINS UNIV PRESS	1071-6068	1080-6601	0.3	0.4		
ORNITHOLOGICAL SCIENCE	ORNITHOL SCI	"ORNITHOLOGICAL SOC JAPAN, UNIV TOKYO, SCH AGR"	1347-0558	1347-0558	0.3	0.5	Q4	28/29
OXFORD ART JOURNAL	OXFORD ART J	OXFORD UNIV PRESS	0142-6540	1741-7287	0.3	0.2		
PROCEEDINGS OF THE JAPAN ACADEMY SERIES A-MATHEMATICAL SCIENCES	P JPN ACAD A-MATH	JAPAN ACAD	0386-2194		0.3	0.4	Q4	432/483
Vestnik Ugrovedeniya-Bulletin of Ugric Studies	VESTN UGROVEDENIYA	BU HMAO-YUGRY OB-UGRIC INST APPLIED RESEARCH & DEVELOPMENT	2220-4156	2587-9766	0.3	0.2		
Antiquaries Journal	ANTIQ J	CAMBRIDGE UNIV PRESS	0003-5815	1758-5309	0.3	0.3		
Atenea	ATENEA-CONCEPC	"UNIV CONCEPCION, BIBLIOTECA CENTRAL"	0718-0462	0718-0462	0.3	0.3		
AUSTRALIAN BUSINESS LAW REVIEW	AUST BUS LAW REV	LAWBOOK CO LTD	0310-1053	0310-1053	0.3	0.2	Q3	278/434
Babel-Revue Internationale de la Traduction-International Journal of Translation	BABEL-AMSTERDAM	JOHN BENJAMINS PUBLISHING CO	0521-9744	1569-9668	0.3	0.5	Q4	249/303
Comparative and Continental Philosophy	COMP CONT PHILOS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1757-0638	1757-0646	0.3	0.3		
Historical Studies in the Natural Sciences	HIST STUD NAT SCI	UNIV CALIFORNIA PRESS	1939-1811	1939-182X	0.3	0.5	Q4	85/112
History of Philosophy & Logical Analysis	HIST PHILO LOG ANAL	BRILL	2666-4283	2666-4275	0.3	0.3		
International Journal of Sino-Western Studies	INT J SINO-WEST STUD	NORDIC FORUM SINO-WESTERN STUDIES	1799-8204	2242-2471	0.3	0.1		
Ius Canonicum	IUS CANONICUM	"UNIV NAVARRA, SERVICIO PUBLICACIONES"	0021-325X	2254-6219	0.3	0.3	Q3	278/434
Archeologia e Calcolatori	ARCHEOL CALC	EDIZIONI ALL INSEGNA GIGLIO SAS-ITALIAN NATL RESEARCH COUNC	1120-6861	2385-1953	0.3	0.4		
Baltic Journal of English Language Literature and Culture	BALT J ENGL LANG LIT	UNIV LATVIA PRESS	1691-9971	2501-0395	0.3	0.2		
Dress-The Journal of the Costume Society of America	DRESS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0361-2112	2042-1729	0.3	0.4		
GERMAN STUDIES REVIEW	GER STUD REV	JOHNS HOPKINS UNIV PRESS	0149-7952	2164-8646	0.3	0.3	Q3	135/182
International Journal of Conflict and Violence	INT J CONFL VIOLENCE	INST INTERDISCIPLINARY RES	1864-1385	1864-1385	0.3	1.0	Q4	275/322
International Journal of English Studies	INT J ENGL STUD	UNIV MURCIA	1578-7044	1989-6131	0.3	0.7		
Kajian Malaysia	KAJI MALAYS	PENERBIT UNIV SAINS MALAYSIA	2180-4273	2180-4273	0.3	0.5	Q3	135/182
Scandia	SCANDIA	SCANDIA	0036-5483	0036-5483	0.3	0.3	Q2	176/538
Unterrichtspraxis-Teaching German	UNTERRICHTSPRAXIS	WILEY	0042-062X	1756-1221	0.3	0.4		
Advanced Studies-Euro-Tbilisi Mathematical Journal	ADV STUD EURO TBILIS	TBILISI CENTRE MATH SCI		2667-9930	0.3	0.3	Q4	432/483
Arab Law Quarterly	ARAB LAW Q	BRILL	0268-0556	1573-0255	0.3	0.4	Q3	278/434
ART JOURNAL	ART J	TAYLOR & FRANCIS INC	0004-3249	2325-5307	0.3	0.5		
Eesti ja Soome-Ugri Keeleteaduse Ajakiri-Journal of Estonian and Finno-Ugric Linguistics	EESTI SOOME-UGRI KEE	UNIV TARTU PRESS	1736-8987	2228-1339	0.3	0.2		
Megaron	MEGARON	"YILDIZ TECHNICAL UNIV, FAC ARCHITECTURE"	1309-6915	1309-6915	0.3	0.3		
Ogigia-Revista Electronica de Estudios Hispanicos	OGIGIA	EDICIONES UNIV VALLADOLID	1887-3731	1887-3731	0.3	0.3		
Tokyo Journal of Mathematics	TOKYO J MATH	TOKYO JOURNAL MATHEMATICS EDITORIAL OFFICE ACAD CENTER	0387-3870		0.3	0.4	Q4	432/483
ZEITSCHRIFT FUR SLAWISTIK	Z SLAWISTIK	WALTER DE GRUYTER GMBH	0044-3506		0.3	0.1		
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG	ABH MATH SEM HAMBURG	SPRINGER HEIDELBERG	0025-5858	1865-8784	0.3	0.3	Q4	432/483
British Journal for the History of Mathematics	BRIT J HIST MATH	TAYLOR & FRANCIS LTD	2637-5451	2637-5494	0.3	0.3	Q4	432/483
Espacio Tiempo y Forma-Serie III-Historia Medieval	ESPAC TIEMPO FOR III	UNIV NACIONAL EDUCACION DISTANCIA	0214-9745	2340-1362	0.3	0.2	Q2	176/538
Journal of Technology and Chinese Language Teaching	J TECHNOL CHIN LANG	JOURNAL TECHNOLOGY & CHINESE LANGUAGE TEACHING	1949-260X	1949-260X	0.3	0.4	Q4	628/756
Makara Hubs-Asia	MAKARA HUBS-ASIA	UNIV INDONESIA	2355-794X	2406-9183	0.3	0.5	Q3	203/271
PAEDAGOGICA HISTORICA	PAEDAGOG HIST	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0030-9230	1477-674X	0.3	0.4	Q4	628/756
Universum-Revista de Humanidades y Ciencias Sociales	UNIVERSUM-TALCA	"UNIV TALCA, INST ESTUDIOS HUMANISTICOS JUAN IGNACIO MOLINA"	0718-2376	0716-498X	0.3	0.3		
Cadernos de Traducao	CAD TRADUCAO	"UNIV FEDERAL SANTA CATARINA, NUCLEO TRADUCAO"	1414-526X	2175-7968	0.3	0.3		
Childhood and Philosophy	CHILD PHILOS	STATE UNIV RIO DE JANEIRO	2525-5061	1984-5987	0.3	0.4	Q4	628/756
Croatian Journal of Philosophy	CROAT J PHILOS	KRUZAK D O O	1333-1108	1847-6139	0.3	0.2		
Facta Universitatis-Series Mathematics and Informatics	FACTA UNIV-SER MATH	UNIV NIS	0352-9665	2406-047X	0.3	0.5	Q4	432/483
FAMILY & COMMUNITY HISTORY	FAM COMMUNITY HIST	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1463-1180	1751-3812	0.3	0.3	Q2	176/538
International Journal of Cuban Studies	INT J CUBA STUD	PLUTO JOURNALS	1756-3461	1756-347X	0.3	0.3	Q3	135/182
Journal of Ancient History and Archaeology	J ANC HIST ARCHAEOL	MEGA PUBLISHING HOUSE	2360-266X	2360-266X	0.3	0.2		
Journal of Islamic Manuscripts	J ISLAM MANUSCR	BRILL	1878-4631	1878-464X	0.3	0.3		
Journal of Spanish Cultural Studies	J SPAN CULT STUD	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1463-6204	1469-9818	0.3	0.4	Q3	43/64
LLT Journal-A Journal on Language and Language Teaching	LLT J-INDONESIA	Sanata Dharma Univ	1410-7201	2579-9533	0.3		Q4	628/756
Catalan Journal of Communication & Cultural Studies	CATAL J COMMU CUL ST	INTELLECT LTD	1757-1898	1757-1901	0.3	0.5	Q4	197/227
Civil Justice Quarterly	CIV JUSTICE Q	SWEET MAXWELL LTD	0261-9261		0.3	0.3	Q3	278/434
Conservation Science in Cultural Heritage	CONSERV SCI CULT HER	MIMESIS EDIZIONI	1974-4951	1973-9494	0.3	0.3		
Journal of Inequalities and Special Functions	J INEQUAL SPEC FUNCT	UNIV PRISHTINES	2217-4303	2217-4303	0.3	0.5	Q4	432/483
Journal of Latin American Cultural Studies	J LAT AM CULT STUD	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1356-9325	1469-9575	0.3	0.4	Q3	43/64
Journal of Siberian Federal University-Mathematics & Physics	J SIB FED UNIV-MATH	SIBERIAN FEDERAL UNIV	1997-1397	2313-6022	0.3	0.3	Q4	432/483
Matematicki Vesnik	MAT VESTN	MATH SOC SERBIA-DRUSTVO MATEMATICARA SRBIJE	0025-5165	2406-0682	0.3	0.4	Q4	432/483
Pravoprimenenie-Law Enforcement Review	PRAVOPRIMENENIE-LAW	DOSTOEVSKY OMSK STATE UNIV	2542-1514	2658-4050	0.3	0.2	Q3	278/434
Revista de Historia Moderna-Anales de la Universidad de Alicante	REV HIST MOD	UNIV ALICANTE	0212-5862	1989-9823	0.3		Q2	176/538
RUSSIAN JOURNAL OF NEMATOLOGY	RUSS J NEMATOL	"RUSSIAN ACAD SCI, INST PARASITOLOGY"	0869-6918	0869-6918	0.3	0.5	Q4	177/181
Scriptura-International Journal of Bible Religion and Theology in Southern Africa	SCRIPTURA	SUNJOURNALS	0254-1807	2305-445X	0.3	0.4		
Socialine Teorija Empirija Politika ir Praktika	SOC TEOR EMP POLIT P	VILNIUS UNIV	1648-2425	2345-0266	0.3	0.2	Q4	85/94
Vestnik Tomskogo Gosudarstvennogo Universiteta Filologiya-Tomsk State University Journal of Philology	VESTN TOMSK U-FILOL	TOMSK STATE UNIV	1998-6645	2310-5046	0.3	0.2		
Vestnik Volgogradskogo Gosudarstvennogo Universiteta-Seriya 2-Yazykoznanie	VESTN VOLG GOS U-YAZ	VOLGOGRAD STATE UNIV	1998-9911	2409-1979	0.3	0.2		
CAHIERS VICTORIENS & EDOUARDIENS	CAH VICTOR EDOUARD	Univ Montpellier	0220-5610		0.3	0.1		
Circulo de Linguistica Aplicada a la Comunicacion	CIRC LINGUIST APL CO	"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES"	1576-4737	1576-4737	0.3	0.5	Q4	249/303
Ethnorema	ETHNOREMA	ETHNOREMA ASSOC	1826-8803	1826-8803	0.3	0.2	Q4	249/303
Historia Ciencias Saude-Manguinhos	HIST CIENC SAUDE-MAN	FUNDACO OSWALDO CRUZ	0104-5970	1678-4758	0.3	0.4	Q4	85/112
Journal of Settlements and Spatial Planning	J SETTL SPAT PLAN	CLUJ UNIV PRESS	2069-3419	2248-2199	0.3	0.8	Q4	139/173
Latin Americanist	LAT AM	UNIV NORTH CAROLINA PRESS	1557-2021	1557-203X	0.3	0.3		
Linguistics and the Human Sciences	LINGUIST HUM SCI	UNIV TORONTO PRESS INC	1742-2906	1743-1662	0.3	0.4		
Obradoiro de Historia Moderna	OBRADOIRO HIST MOD	UNIV SANTIAGO COMPOSTELA	1133-0481	2340-0013	0.3	0.4	Q2	176/538
Aisthesis-Pratiche Linguaggi e Saperi dell Estetico	AISTHESIS	FIRENZE UNIV PRESS	2035-8466	2035-8466	0.3	0.3		
Al-Arabiyya-Journal of the American Association of Teachers of Arabic	AL-ARABIYYA	GEORGETOWN UNIV PRESS	0889-8731	2375-4036	0.3	0.4		
Annales Mathematicae et Informaticae	ANN MATH INFORM	E K F LICEUM KIADO	1787-5021	1787-6117	0.3	0.3	Q4	432/483
Complutense Journal of English Studies	COMPLUT J ENGL STUD	"UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES"	2386-3935	2386-6624	0.3	0.4		
Fachsprache-Journal of Professional and Scientific Communication	FACHSPRACHE	FACULTAS VERLAGS & BUCHHANDELS AG	1017-3285	2523-9201	0.3	0.3		
Journal of the Ramanujan Mathematical Society	J RAMANUJAN MATH SOC	RAMANUJAN MATHEMATICAL SOC	0970-1249	2320-3110	0.3	0.3	Q4	432/483
Pratiques Psychologiques	PRAT PSYCHOL	ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER	1269-1763		0.3	0.5	Q4	200/221
Romanian Journal of Communication and Public Relations	ROM J COMMUN PUB REL	"SCOALA NATL STUDII POLITICE ADM - SNSPA, FAC COMINICARE REALTI PUBLICE"	1454-8100	2344-5440	0.3	1.2	Q4	197/227
Vernacular Architecture	VERNAC ARCHIT	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0305-5477	1749-6292	0.3	0.6		
Acta Mathematica Vietnamica	ACTA MATH VIETNAM	SPRINGER SINGAPORE PTE LTD	0251-4184	2315-4144	0.3	0.5	Q4	432/483
Anuario Colombiano de Derecho Internacional-ACDI	ANU COLOMB DERECHO I	"UNIV ROSARIO, EDITORIAL"	2027-1131	2145-4493	0.3	0.2	Q3	278/434
Araucaria-Revista Iberoamericana de Filosofia Politica y Humanidades	ARAUCARIA	"UNIV SEVILLA, EDITORIAL"	1575-6823	2340-2199	0.3	0.2		
Atlantis-Critical Studies in Gender Culture & Social Justice	ATLANTIS-CRIT STUD G	"MOUNT SAINT VINCENT UNIV, INST STUDY WOMEN"	0702-7818	1715-0698	0.3	0.5	Q4	58/70
Fabrications-The Journal of the Society of Architectural Historians Australia and New Zealand	FABRICATIONS	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1033-1867	2164-4756	0.3	0.4		
Jordan Journal of Mathematics and Statistics	JORDAN J MATH STAT	"YARMOUK UNIV, DEANSHIP RESEARCH & GRADUATE STUDIES"	2075-7905	2227-5487	0.3	0.3	Q4	432/483
Journal of Humanistic Mathematics	J HUMANIST MATH	CLAREMONT CENTER MATHEMATICAL SCIENCES	2159-8118	2159-8118	0.3	0.3	Q4	85/112
Jurnal Penelitian dan Pembelajaran IPA	J PENELIT PEMBELAJAR	"UNIV SULTAN AGENG TIRTAYASA, FAC TEACHER TRAINING & EDUCATION (FKIP), DSE"	2477-1422	2477-2038	0.3	0.4	Q4	81/86
Religion and Society-Advances in Research	RELIG SOC-ADV RES	BERGHAHN JOURNALS	2150-9298	2150-9301	0.3	0.8		
THEORETICAL LINGUISTICS	THEOR LINGUIST	WALTER DE GRUYTER GMBH	0301-4428	1613-4060	0.3	1.2	Q4	249/303
Differences-A Journal of Feminist Cultural Studies	DIFFERENCES	DUKE UNIV PRESS	1040-7391	1527-1986	0.3	0.6	Q3	43/64
Ecclesial Practices	ECCLES PRACT	BRILL	2214-4463	2214-4471	0.3		Q4	190/219
Journal de Theorie des Nombres de Bordeaux	J THEOR NOMBR BORDX	"UNIV BORDEAUX, INST MATHEMATIQUES BORDEAUX"	1246-7405	2118-8572	0.3	0.3	Q4	432/483
Journal for Geometry and Graphics	J GEOM GRAPH	HELDERMANN VERLAG	1433-8157	1433-8157	0.3	0.2	Q4	432/483
Journal of Dynamics and Games	J DYN GAMES	AMER INST MATHEMATICAL SCIENCES-AIMS	2164-6066	2164-6074	0.3	0.7	Q4	129/136
Korea Observer	KOREA OBS	INST KOREAN STUDIES	0023-3919	0023-3919	0.3	0.4	Q3	135/182
Missouri Journal of Mathematical Sciences	MO J MATH SCI	"CENTRAL MISSOURI STATE UNIV, DEPT MATHEMATICS & COMPUTER SCIENCE"	0899-6180	1085-2581	0.3	0.3	Q4	432/483
Pravni zapisi	PRAV ZAP	Union Univ School Law Belgrade	2217-2815	2406-1387	0.3		Q3	278/434
Revista de Llengua i Dret-Journal of Language and Law	REV LLENG DRET	ESCOLA ADM PUBLICA CATALUNYA	0212-5056	2013-1453	0.3	0.3	Q3	278/434
Wasafiri	WASAFIRI	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0269-0055	1747-1508	0.3	0.3		
ZEITSCHRIFT FUR GERMANISTISCHE LINGUISTIK	Z GER LINGUISTIK	WALTER DE GRUYTER GMBH	0301-3294	1613-0626	0.3	0.2		
African Journal of International and Comparative Law	AFR J INT COMP LAW	EDINBURGH UNIV PRESS	0954-8890	1755-1609	0.3	0.2	Q3	278/434
Al-Shajarah	AL-SHAJARAH	"INT ISLAMIC UNIV MALAYSIA, INT INST ISLAMIC THOUGHT & CIVILIZATION"	1394-6870	1394-6870	0.3	0.4		
Ancient Philosophy Today: DIALOGOI	ANC PHILOS TODAY	EDINBURGH UNIV PRESS	2516-1156	2516-1164	0.3	0.4	Q4	85/112
Bratislava Law Review	BRATISLAVA LAW REV	"Comenius Univ Bratislava, Fac Law"	2585-7088	2644-6359	0.3		Q3	278/434
Conimbriga-Revista de Arqueologia	CONIMBRIGA	COIMBRA UNIV PRESS	0084-9189	1647-8657	0.3	0.3		
Contemporary Europe-Sovremennaya Evropa	CONTEMP EUR	"ROSSIISKAYA AKAD NAUK, INST EVROPY"	0201-7083	0201-7083	0.3	0.2	Q3	135/182
International Journal of Parliamentary Studies	INT J PARLIAM STUD	BRILL	2666-8904	2666-8912	0.3	0.4	Q3	278/434
INTERPRETATION-A JOURNAL OF BIBLE AND THEOLOGY	INTERPRETATION	SAGE PUBLICATIONS INC	0020-9643	2159-340X	0.3	0.4		
Revista Catalana de Dret Public	REV CATALANA DRET PU	ESCOLA ADM PUBLICA CATALUNYA	1885-5709	1885-8252	0.3	0.2	Q3	278/434
Revista Electronica de Fuentes y Archivos	REV ELECTRON FUENTES	CENTRO DE ESTUDIOS HISTORICOS PROF CARLOS S A SEGRETI	1853-4503	1853-4503	0.3	0.2	Q2	176/538
Social Philosophy and Policy	SOC PHILOS POLICY	CAMBRIDGE UNIV PRESS	0265-0525	1471-6437	0.3	0.6	Q3	203/271
TRANSLATION REVIEW	TRANSLATION REV	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	0737-4836	2164-0564	0.3	0.3		
Tsukuba Journal of Mathematics	TSUKUBA J MATH	"UNIV TSUKUBA, DEPT MATH"	0387-4982	2423-821X	0.3	0.5	Q4	432/483
Vestnik Mezhdunarodnykh Organizatsii-International Organisations Research Journal	VESTN MEZHDUNARODNYK	NATL RESEARCH UNIV HIGHER SCH ECONOMICS	1996-7845	1996-7845	0.3	0.5	Q4	146/169
ZEITSCHRIFT FUR ETHNOLOGIE - Journal of Social and Cultural Anthropology	Z ETHNOL	DIETRICH REIMER VERLAG	0044-2666		0.3	0.4	Q4	118/141
Asian Women	ASIAN WOMEN	SOOKMYUNG WOMENS UNIV	1225-925X	2586-5714	0.3	0.4	Q4	58/70
Indian Journal of Gender Studies	INDIAN J GEND STUD	SAGE PUBLICATIONS INDIA PVT LTD	0971-5215	0973-0672	0.3	1.0	Q4	58/70
International Journal of Technoethics	INT J TECHNOETHICS	IGI GLOBAL	1947-3451	1947-346X	0.3	1.3	Q4	71/77
JOURNAL OF PIDGIN AND CREOLE LANGUAGES	J PIDGIN CREOLE LANG	JOHN BENJAMINS PUBLISHING CO	0920-9034	1569-9870	0.3	0.5	Q4	249/303
Note di Matematica	NOTE MAT	ARACNE EDITRICE	1123-2536	1590-0932	0.3	0.3	Q4	432/483
Open Access Surgery	OPEN ACCESS SURG	DOVE MEDICAL PRESS LTD		1178-7082	0.3	0.7	Q4	289/312
Revue Roumaine de Philosophie	REV ROUM PHILOS	EDITURA ACAD ROMANE	1220-5400		0.3	0.2		
Argumentation and Advocacy	ARGUMENT ADVOCACY	"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"	1051-1431	2576-8476	0.3	0.7	Q4	197/227
Discrete Mathematics and Applications	DISCRET MATH APPL	WALTER DE GRUYTER GMBH	0924-9265	1569-3929	0.3	0.3	Q4	328/343
Frontiers of Education in China	FRONT EDUC CHINA	HIGHER EDUCATION PRESS	1673-341X	1673-3533	0.3	1.0	Q4	628/756
Ge-Conservacion	GE-CONSERV	GRUPO ESPANOL I I C	1989-8568	1989-8568	0.3	0.2		
HOUSTON JOURNAL OF MATHEMATICS	HOUSTON J MATH	UNIV HOUSTON	0362-1588		0.3	0.4	Q4	432/483
